,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.46483386,-0.60744804,0.7208328,0.4372302,-1.0694041,-0.055373535,0.64624774,0.45719126,-0.4797961,0.60694504,-0.55559987,-0.48341048,0.2805993,0.045049205,-0.45609406,0.5885131,0.38345465,-0.2800773,-0.26784986,0.19014478,0.4652949,0.20337519,-0.16870093,0.5564304,-0.32179236,-0.53077674,-0.46391776,0.5685812,0.16929802,0.14354831,-0.060988627,0.070359364,-0.12860174,0.6479508,0.5589707,0.42118102,-0.86810124,-0.69879174,0.33094797,0.21697274,0.71291256,-0.32457098,0.6779673,0.2931534,0.8240508,0.36453044,-0.06473549,-0.63171816,0.0040895455,0.7593861,-0.2077977,0.26490852,-0.18915236,0.27543503,0.6273568,0.104016095,-0.31883135,-0.19784938,-0.32891867,-0.16076389,-0.039802738,-0.24259868,0.20114996,-0.59904873
1,0.1865586,-0.33126792,0.63865304,-0.3412813,0.077769615,-0.3990654,0.22520746,-0.105174534,-0.30118722,0.13714471,0.2680787,0.32025024,0.16457833,-0.58489573,-0.0039696395,-0.32590744,-0.23447257,0.34829283,-0.13728584,-0.16057327,-0.8593858,-0.28764498,0.03286861,-0.10345243,0.18967603,-0.21101819,0.0956967,-0.40056282,-0.33815098,0.105087265,-0.39013797,0.42169,-0.30422884,-0.44886214,-0.09675357,0.46076092,0.6509127,-0.041152522,-0.32526946,-0.21556634,0.005727101,0.61829436,0.25723267,-0.28094825,-0.11166599,-0.045719028,0.17156863,-0.48557934,-0.034327466,-0.18436046,-0.22930488,-0.2745015,-0.23130538,0.17354381,0.46989888,-0.22988167,0.07623075,-0.42892098,0.15411012,0.2623945,-0.18433814,0.23721114,0.0030142777,-0.31987867
2,0.017322365,-0.29748288,-0.06918977,0.03908977,-0.14325023,0.055203035,0.013230838,0.058876067,0.10340063,0.040190816,-0.40606573,0.41338852,0.23648688,0.13974406,-0.043427423,-0.23590037,0.42417875,-0.17042808,0.29980278,0.08514987,0.19342501,-0.20716098,-0.11240231,-0.012006693,0.10056749,0.033352546,-0.22436406,-0.06604164,0.1558992,-0.16055733,0.08204956,0.10953902,0.20837422,0.3851572,-0.17091921,-0.011078656,0.043254208,0.008896632,0.23018716,0.11866077,0.06272526,-0.24532852,0.58606416,-0.012688197,0.32131845,0.4848523,0.13595414,-0.32248944,-0.0129963085,0.002870746,-0.031202748,0.17206511,-0.18188587,0.11348057,-0.014348216,0.038075402,-0.0020353645,0.0058466196,0.22045594,0.2589988,-0.08951619,-0.2841804,0.14687523,-0.11927439
3,-0.35214025,-0.8116875,0.22154652,0.28016293,-0.7729945,-0.13098192,-0.2590814,0.015300855,0.58349335,0.35899696,0.26012483,0.24335733,0.40267822,-0.1433309,0.35043257,0.25510767,0.74686307,0.3557341,0.038955092,0.4955436,-0.35318434,-0.46967873,-0.22492315,-0.3972039,0.041511595,-0.28912693,-0.2266762,-0.56210226,-0.4512848,-0.5221779,0.40473634,0.09201479,-0.08511139,0.1791482,-0.5230509,-0.14105222,0.23905048,-0.8388653,0.12907793,-0.60819983,-0.23490103,0.52199876,0.027436942,0.29021892,0.40823013,0.77993166,0.21986726,-0.45502037,0.14690784,0.03363654,-0.54095685,-0.22595106,-0.10680894,0.55218995,0.09519612,0.10580322,-0.20784155,-0.6632646,-0.49827895,0.47378835,-0.52134997,-0.39825597,-0.06925082,-0.77708703
4,0.28046122,0.42880347,-0.046132915,-0.07659057,-0.11833382,-0.36294243,-0.1214536,-0.078624755,0.33674714,0.11111008,-0.04962915,0.009538725,-0.21617258,0.23355275,-0.18505812,0.26911014,-0.013414964,0.23140892,-0.37775928,0.068164654,0.05727029,0.1150395,0.1536644,0.40682724,0.03098581,0.077723034,0.15057461,-0.17061797,-0.25476342,0.34386867,0.2366501,-0.20357417,0.051039107,0.050852627,-0.12877089,0.065016694,-0.08651407,-0.25492448,-0.0038894229,-0.03417536,-0.27414638,0.09402953,0.069028676,-0.4536391,0.23415433,0.1692576,0.2088779,-0.25435612,-0.153029,-0.12520228,0.15924442,0.054432467,-0.09188232,-0.11812626,0.11792076,-0.04229385,0.09435849,-0.008442823,0.2671318,0.18395774,0.3399518,-0.24389066,-0.0278887,0.08029878
5,-0.0029547513,-0.35411593,0.0075097345,0.090167426,0.2554549,0.027648553,-0.08660771,0.21978065,0.040269136,0.22481707,0.0012247227,0.028666902,-0.072241604,-0.13626483,0.105906986,0.30260646,0.04061026,-0.0065427795,0.04508117,-0.3394209,0.2307077,-0.0048991293,0.10687798,-0.021755502,-0.025437422,0.08829334,0.4534124,-0.058758885,-0.022176757,0.24937952,-0.09296178,-0.16230418,0.10186239,0.123476475,0.031638045,0.1901093,0.20981227,0.032699704,-0.019777661,-0.10327846,0.018367851,-0.22509333,-0.17408332,-0.037516225,-0.3099717,-0.057381645,0.14525232,-0.62814975,0.13172412,0.045124404,0.20134246,0.2031193,0.031361654,-0.29851863,0.030911297,0.13744007,0.09535207,0.2380084,-0.110270314,-0.02735173,0.0044245124,-0.10462724,-0.27395874,-0.41491926
6,-0.22054607,-0.2714104,0.25731447,-0.031682312,-0.31636626,0.11112745,-0.04897985,-1.0095173,0.42063713,-0.14710638,0.44286048,0.29027689,0.44703007,-0.34561026,-0.029230494,-0.15641654,0.5223425,0.17169666,0.41607723,-0.09340066,0.11544748,-0.24660262,-0.22124963,-0.3279204,0.068356134,-0.0761019,0.13267125,0.024724372,-0.17100142,0.231435,-0.29669726,0.4217869,0.1658511,0.06242148,-0.48712724,0.19724555,0.3406238,-0.17099403,0.08809881,0.068058655,0.04696849,0.28487408,0.8460266,-0.2899594,0.2695675,0.49793127,0.21426475,-0.91865045,0.38897616,0.46888638,-0.074649036,-0.10903703,0.083117954,0.23280783,0.2297344,-0.7864928,0.4495651,-0.1271428,0.08596138,0.43798426,-0.51723564,0.025376692,0.6919053,0.10557969
7,-0.23786849,0.026072443,0.32650423,-0.07077217,-0.17311603,0.05592439,-0.062210694,-1.0683935,0.3172365,-0.18729718,0.8489261,-0.12311165,0.21054319,-0.48535433,0.014196895,0.07948386,0.098163754,0.34212473,0.116274446,-0.17855057,-0.07797752,-0.039441615,-0.10884732,-0.31591374,-0.0322114,-0.109454446,0.35703528,0.09076598,-0.3269006,0.3919923,-0.3787469,0.31224787,-0.042523094,-0.32273573,-0.31620798,0.20832415,0.2973696,-0.17989063,-0.14208832,-0.05060213,-0.015756756,0.5302026,0.2599624,-0.2772712,-0.051750973,0.013079032,0.078310594,-0.5961609,0.40197253,0.4660157,-0.043446265,-0.28110212,0.2650038,0.11932725,0.24408264,-0.82456833,0.45160037,-0.1329894,-0.13449457,0.17898542,-0.42771947,0.30955714,0.5450301,0.22485408
8,-0.22054607,-0.2714104,0.25731447,-0.031682312,-0.31636626,0.11112745,-0.04897985,-1.0095173,0.42063713,-0.14710638,0.44286048,0.29027689,0.44703007,-0.34561026,-0.029230494,-0.15641654,0.5223425,0.17169666,0.41607723,-0.09340066,0.11544748,-0.24660262,-0.22124963,-0.3279204,0.068356134,-0.0761019,0.13267125,0.024724372,-0.17100142,0.231435,-0.29669726,0.4217869,0.1658511,0.06242148,-0.48712724,0.19724555,0.3406238,-0.17099403,0.08809881,0.068058655,0.04696849,0.28487408,0.8460266,-0.2899594,0.2695675,0.49793127,0.21426475,-0.91865045,0.38897616,0.46888638,-0.074649036,-0.10903703,0.083117954,0.23280783,0.2297344,-0.7864928,0.4495651,-0.1271428,0.08596138,0.43798426,-0.51723564,0.025376692,0.6919053,0.10557969
9,-0.09572278,-0.14925842,0.38408297,-0.452725,-0.28891334,-0.23568094,0.2813459,0.01811111,0.052180164,0.32422024,0.6496705,0.06792549,0.4095173,-0.7773546,-0.41155624,0.33495834,-0.049742475,0.44815552,0.21870759,-0.011074722,-0.10254367,-0.0788507,-0.26740214,-0.14640003,-0.04801579,-0.33239815,0.25595844,0.048020527,-0.22304474,-0.31356126,-0.2342615,0.12204848,-0.3212406,-0.06298394,0.05464603,0.5489775,0.24720338,-0.06513185,-0.36234766,-0.18963593,-0.18982588,0.50095564,-0.08239326,-0.3042044,-0.016267404,0.16246308,0.10531905,0.05516637,0.1777069,0.31940126,-0.31973267,0.050793543,0.17483309,-0.04878685,0.27645004,-0.05001737,0.14928517,-0.2937159,0.060854945,0.5702124,-0.46148017,0.11259597,0.03681004,0.05395048
